"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006364","GO:0006364","rRNA processing","107/5323","203/14636",1.27685987810658e-06,0.000233118132031459,0.000197385256344897,"ABT1/BMS1/BRIX1/BYSL/CHD7/DDX18/DDX21/DDX27/DDX47/DDX49/DDX51/DDX54/DDX56/DHX37/DKC1/EBNA1BP2/EIF4A3/EIF6/EMG1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/FBL/FBLL1/FCF1/FRG1/FTSJ3/GEMIN4/HEATR1/IMP3/IMP4/KRI1/LSM6/MAK16/MPHOSPH10/MRTO4/NAT10/NGDN/NHP2/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP2/NSUN5/NUDT16/PA2G4/PDCD11/PELP1/PES1/PIH1D1/POP4/PPAN/PWP1/PWP2/REXO4/RIOK3/RPL10A/RPL26/RPL7L1/RPP30/RPP40/RPS15/RPS27/RPUSD1/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/SBDS/SHQ1/SIRT7/SRFBP1/SUV39H1/TFB1M/TRMT112/TRMT2B/TSR1/TSR2/URB1/UTP14A/UTP15/UTP18/UTP20/UTP3/WDR18/WDR43/WDR46/WDR55/WDR74/XRN2/YTHDF2",107
"GO:0006406","GO:0006406","mRNA export from nucleus","44/5323","68/14636",1.84921899813979e-06,0.000322268438130362,0.000272870401447996,"ALKBH5/ALYREF/CASC3/CHTOP/DDX19A/DDX39A/EIF4A3/ENY2/FMR1/FYTTD1/GLE1/MCM3AP/NCBP1/NEAT1/NSUN2/NUP107/NUP133/NUP214/NUP85/NUP88/NUP93/NXF1/NXF3/NXT1/NXT2/PABPN1/POLDIP3/RAE1/RBM15B/RBM8A/SARNP/SETD2/SMG5/SMG6/SMG7/SRSF3/SUPT6H/THOC1/THOC2/THOC6/THOC7/UPF1/XPO1/ZC3H11A",44
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","144/5323","290/14636",2.04564279844378e-06,0.000329522664677425,0.000279012683706773,"AHCYL1/AKT1/ALKBH5/ANGEL2/APEX1/BTG2/C1QBP/CAPRIN1/CARHSP1/CASC3/CDK9/CELF1/CELF2/CELF3/CELF4/CIRBP/CLNS1A/CNOT10/CNOT7/CPEB1/CPEB3/CSDE1/DAZAP1/DCP1A/DCP2/DDX5/DHX34/DHX9/E2F1/EIF1/EIF4A3/ELAVL1/EXOSC10/EXOSC3/EXOSC5/EXOSC9/FASTK/FASTKD5/FMR1/FTO/FUS/FXR2/GDNF/GTPBP1/HNRNPA0/HNRNPD/HNRNPK/HNRNPL/HNRNPU/IGF2BP1/IGF2BP2/KHDRBS1/KHDRBS3/KHSRP/LARP1/LARP1B/LARP4B/LARP7/MAPKAPK2/METTL3/MLH1/MOV10/NCBP1/NCL/NOVA1/NUP98/PABPC1/PABPC4/PAIP1/PARN/PATL1/PDE12/PIAS4/POLR2G/PRDX6/PRKCA/PRMT5/PRPF19/PRR5L/PTBP1/PUF60/QKI/RBFOX2/RBM10/RBM11/RBM15/RBM15B/RBM23/RBM24/RBM3/RBM33/RBM39/RBM4/RBM42/RBM8A/RBMX/RBPMS/RBPMS2/RC3H1/RC3H2/RNPS1/ROCK1/SAFB/SAFB2/SAMD4A/SAMD4B/SECISBP2/SENP1/SF1/SF3B4/SFSWAP/SLTM/SMU1/SNRNP70/SRPK1/SRPK2/SRSF3/SRSF6/SRSF7/SRSF9/SUPT6H/SYNCRIP/TBRG4/TIA1/TIRAP/TNKS1BP1/TNRC6B/TOB1/TRAF2/TRAF5/TTC5/U2AF2/UPF1/VIM/WDR77/YBX1/YTHDF2/YTHDF3/ZBTB7A/ZC3H12A/ZC3H14/ZC3HAV1/ZFP36/ZFP36L1",144
"GO:0035966","GO:0035966","response to topologically incorrect protein","79/5323","142/14636",2.0627396849917e-06,0.000329522664677425,0.000279012683706773,"AKIRIN2/ATF3/ATF6/ATXN3/BAG3/BAK1/BAX/BCL2L11/CAV1/CCND1/CDK5RAP3/CHAC1/CLU/COPS5/CREB3/CREB3L1/CREB3L2/CREBZF/CTH/DAB2IP/DAXX/DDIT3/DERL1/DNAJB1/DNAJB12/DNAJB14/DNAJB5/DNAJB9/EDEM1/EDEM3/EIF2AK2/EIF2AK3/ERN1/ERP44/FAF2/FGF21/HERPUD1/HERPUD2/HSF1/HSP90AA1/HSP90AB1/HSPA1A/HSPA1L/HSPA2/HSPA4/HSPA4L/HSPA5/HSPA6/HSPA8/HSPB1/HSPB8/HSPE1/KLHL15/MANF/MBTPS2/MFN2/NCK1/OPTN/PARP8/PIK3R1/PPP1R15A/PPP1R15B/PTPN1/PTPN2/QRICH1/RHBDD1/RPAP2/SERP1/SERPINH1/TBL2/TMBIM6/TMED2/TMEM33/UBE2J2/UFL1/VAPB/VCP/XBP1/YOD1",79
"GO:0006260","GO:0006260","DNA replication","127/5323","252/14636",3.09586012919614e-06,0.000474781109413521,0.000402005584776459,"ACTL6A/ACTR5/ATAD5/ATR/ATRX/BCL6/BRCA1/BRPF3/CARM1/CCNA2/CCNE1/CDC25A/CDC42/CDC6/CDK2AP1/CDK9/CDKN1A/CHAF1A/CHAF1B/CHRAC1/CHTF8/CIZ1/DBF4/DBF4B/DHX9/DNA2/DNAJA3/DNAJC2/DTL/EGFR/EHMT2/EME1/EME2/ESCO1/FEN1/GEN1/GINS1/GINS4/GLI1/GLI2/GRWD1/HELB/HMGA1/ING5/INO80/INO80D/INO80E/KIN/LIG1/LPIN1/LRWD1/MAP2K4/MCM2/MCM3/MCM4/MCM6/MCM7/MCMBP/MCRS1/MEAF6/MMS22L/MUS81/NAP1L1/NBN/NFIA/NFIB/NFIX/NFRKB/ORC1/ORC3/PARP1/PDS5A/PIF1/POLA1/POLA2/POLD1/POLE/POLE4/POLH/POLI/POLN/POLRMT/PPP2CA/PPP2R1A/PTMS/PURA/RAD50/RBBP4/RBBP7/RBBP8/RECQL5/REPIN1/REV3L/RFC1/RFWD3/RMI2/RNASEH2A/RPA1/RPA2/RPA4/RRM1/RUVBL1/RUVBL2/S100A11/SAMHD1/SET/SIN3A/SLFN11/SMARCA5/SMARCAL1/SMC3/SSRP1/SUPT16H/TIMELESS/TOP1/TOPBP1/TRAIP/TSPYL2/UCHL5/UPF1/WDHD1/WDR18/WEE1/WIZ/WRNIP1/ZBTB38/ZMPSTE24",127
"GO:0000819","GO:0000819","sister chromatid segregation","109/5323","211/14636",3.55250384707435e-06,0.000510179523859799,0.00043197805001884,"ACTB/ACTL6A/AKAP8/ANAPC5/ANAPC7/ARHGEF10/ARID1B/ARID2/AURKB/BAZ1B/BCCIP/BCL7A/BCL7B/BCL7C/BIRC5/BOD1/BRD7/CCDC61/CCNB1/CDC16/CDC20/CDC6/CDCA5/CDCA8/CENPI/CENPK/CHAMP1/CHFR/CHMP1A/CHMP1B/CHMP4A/CHMP4B/CHMP6/CHMP7/DPF1/DPF2/DRG1/DYNC1LI1/ESPL1/GEN1/HNRNPU/HSPA1A/HSPA1B/IK/INCENP/INO80/KAT5/KATNB1/KIF18B/KIF22/KIF2C/KIF3B/KIF4A/KIF4B/KIFC1/KNTC1/KPNB1/LSM14A/MAD2L2/MAP9/MAPRE1/MIS12/MYBL2/NCAPG2/NCAPH/NCAPH2/NSL1/NUDC/NUMA1/NUSAP1/PBRM1/PIBF1/PLK1/POLDIP2/PPP2R1A/PRICKLE1/PSRC1/RAN/RANGRF/RHOA/RMI2/RRS1/SEH1L/SKA1/SKA3/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD1/SMARCE1/SMC1A/SMC3/SPAG5/SPC24/SPC25/SPICE1/STAG1/TACC3/TOP2A/TRIP13/UBE2C/UHRF1/VPS4A/WRAP73/XRCC3/ZW10/ZWILCH/ZWINT",109
"GO:0006282","GO:0006282","regulation of DNA repair","98/5323","186/14636",3.59281354830845e-06,0.000510179523859799,0.00043197805001884,"ABL1/ACTB/ACTL6A/ACTR2/ACTR5/ARID1B/ARID2/ATR/ATRIP/ATXN7L3/BABAM1/BCL7A/BCL7B/BCL7C/BRCA1/BRCC3/BRD7/CDK9/CEBPG/CUL4A/DHX9/DMAP1/DPF1/DPF2/EGFR/ENY2/EPC2/EYA1/EYA3/EYA4/FAM168A/FANCB/FOXM1/FUS/HELB/HMGB1/HSF1/IER3/INO80/INO80D/INO80E/KAT2A/KAT5/KLHL15/MAD2L2/MAGEF1/MCRS1/MEAF6/MORF4L2/NFRKB/NUDT16L1/OGG1/OTUB1/PARP1/PARP3/PBRM1/PIAS4/POLH/POT1/PPP4R2/RAD51AP1/RECQL5/RMI2/RNF168/RNF169/RPA2/RUVBL1/RUVBL2/SENP3/SETD2/SF3B3/SIRT6/SIRT7/SMARCA4/SMARCB1/SMARCC1/SMARCD1/SMARCE1/SPIRE2/SUPT3H/TADA2B/TADA3/TAF4/TAF5L/TAF6L/TAF7/TERF2IP/TFIP11/TIMELESS/TP53BP1/TRIM28/TRRAP/TWIST1/UBE2N/UBQLN4/UCHL5/USP22/WDR48",98
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","56/5323","94/14636",3.7824443691288e-06,0.000517924703972851,0.000438536031368166,"AKIRIN2/ATF3/ATF6/ATXN3/BAG3/BAK1/BAX/BCL2L11/CAV1/CCND1/CDK5RAP3/COPS5/CREB3/CREB3L1/CREBZF/CTH/DAB2IP/DAXX/DDIT3/DERL1/DNAJB12/DNAJB14/DNAJB9/EIF2AK2/EIF2AK3/ERN1/FGF21/HERPUD1/HERPUD2/HSF1/HSPA1A/HSPA5/HSPB8/KLHL15/MBTPS2/NCK1/OPTN/PARP8/PIK3R1/PPP1R15A/PPP1R15B/PTPN1/PTPN2/QRICH1/RHBDD1/RPAP2/SERP1/TBL2/TMBIM6/TMED2/TMEM33/UFL1/VAPB/VCP/XBP1/YOD1",56
"GO:0006986","GO:0006986","response to unfolded protein","72/5323","129/14636",4.91955243618392e-06,0.00065039876001135,0.000550704163818193,"ATF3/ATF6/BAG3/BAK1/BAX/BCL2L11/CCND1/CDK5RAP3/CHAC1/COPS5/CREB3/CREB3L1/CREB3L2/CREBZF/CTH/DAB2IP/DAXX/DDIT3/DERL1/DNAJB1/DNAJB5/DNAJB9/EDEM1/EDEM3/EIF2AK2/EIF2AK3/ERN1/ERP44/FAF2/FGF21/HERPUD1/HERPUD2/HSF1/HSP90AA1/HSP90AB1/HSPA1A/HSPA1L/HSPA2/HSPA4/HSPA4L/HSPA5/HSPA6/HSPA8/HSPB1/HSPB8/HSPE1/MANF/MBTPS2/MFN2/NCK1/OPTN/PARP8/PIK3R1/PPP1R15A/PPP1R15B/PTPN1/PTPN2/QRICH1/RHBDD1/RPAP2/SERP1/SERPINH1/TBL2/TMBIM6/TMED2/TMEM33/UBE2J2/UFL1/VAPB/VCP/XBP1/YOD1",72
"GO:0015931","GO:0015931","nucleobase-containing compound transport","110/5323","215/14636",5.73550016294564e-06,0.000732996920824453,0.000620641491316644,"ABCC6/ADCY10/ALKBH5/ALYREF/ARC/ATXN2/CASC3/CETN2/CETN3/CHTOP/DDX19A/DDX39A/DHX9/EIF4A3/ENY2/FMR1/FXR2/FYTTD1/GLE1/HSF1/IGF2BP1/IGF2BP2/KHDRBS1/KHSRP/KPNB1/LRRC8A/LRRC8B/LRRC8C/MCM3AP/MVP/NCBP1/NEAT1/NOL6/NSUN2/NUP107/NUP133/NUP188/NUP205/NUP210/NUP214/NUP50/NUP54/NUP85/NUP88/NUP93/NUP98/NUTF2/NXF1/NXF3/NXT1/NXT2/PABPN1/PEG10/PHAX/POLDIP3/POM121/POM121C/POM121L2/QKI/RAE1/RAN/RBM15B/RBM33/RBM8A/RFTN1/RIPK1/RSC1A1/SARNP/SEC13/SEH1L/SENP2/SETD2/SIDT2/SLBP/SLC19A1/SLC25A23/SLC25A24/SLC25A25/SLC25A26/SLC25A36/SLC29A1/SLC29A4/SLC33A1/SLC35A1/SLC35A2/SLC35A4/SLC35A5/SLC35B2/SLC35B4/SLC35D3/SMG5/SMG6/SMG7/SNUPN/SRSF3/SRSF7/SUPT6H/TGFBR2/THOC1/THOC2/THOC6/THOC7/TOMM20/UPF1/XPO1/XPO5/YBX1/ZC3H11A/ZFP36/ZFP36L1",110
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","60/5323","104/14636",7.33001179687996e-06,0.000906556942878637,0.000767597839781928,"C1QBP/CELF1/CELF2/CELF3/CELF4/CIRBP/CLNS1A/DAZAP1/DDX5/EIF1/EXOSC10/FMR1/HNRNPK/HNRNPL/HNRNPU/KHDRBS1/KHDRBS3/LARP7/NCBP1/NCL/NOVA1/NUP98/PRDX6/PRMT5/PRPF19/PTBP1/PUF60/QKI/RBFOX2/RBM10/RBM11/RBM15/RBM15B/RBM23/RBM24/RBM3/RBM39/RBM4/RBM42/RBM8A/RBMX/RBPMS/RBPMS2/RNPS1/SF1/SF3B4/SFSWAP/SMU1/SNRNP70/SRPK1/SRPK2/SRSF3/SRSF6/SRSF7/SRSF9/TIA1/U2AF2/UPF1/WDR77/ZBTB7A",60
"GO:2000765","GO:2000765","regulation of cytoplasmic translation","23/5323","30/14636",7.91856798088423e-06,0.000914382834658951,0.000774224161131209,"CPEB1/CPEB2/CPEB3/CPEB4/CSDE1/DHX9/EIF2AK4/FMR1/HNRNPD/HNRNPU/IGF2BP1/IMPACT/METTL3/MTOR/NCK1/PABPC1/PAIP1/RBM24/SYNCRIP/UNK/YBX1/YTHDF2/ZNF385A",23
"GO:0034620","GO:0034620","cellular response to unfolded protein","50/5323","83/14636",7.95876520891873e-06,0.000914382834658951,0.000774224161131209,"ATF3/ATF6/BAG3/BAK1/BAX/BCL2L11/CCND1/CDK5RAP3/COPS5/CREB3/CREB3L1/CREBZF/CTH/DAB2IP/DAXX/DDIT3/DERL1/DNAJB9/EIF2AK2/EIF2AK3/ERN1/FGF21/HERPUD1/HERPUD2/HSF1/HSPA1A/HSPA5/HSPB8/MBTPS2/NCK1/OPTN/PARP8/PIK3R1/PPP1R15A/PPP1R15B/PTPN1/PTPN2/QRICH1/RHBDD1/RPAP2/SERP1/TBL2/TMBIM6/TMED2/TMEM33/UFL1/VAPB/VCP/XBP1/YOD1",50
"GO:0050684","GO:0050684","regulation of mRNA processing","70/5323","126/14636",8.23525785817349e-06,0.000914382834658951,0.000774224161131209,"AHCYL1/C1QBP/CDK9/CELF1/CELF2/CELF3/CELF4/CIRBP/CLNS1A/CPEB1/DAZAP1/DDX5/DHX9/EIF1/EXOSC10/FMR1/HNRNPK/HNRNPL/HNRNPU/KHDRBS1/KHDRBS3/LARP7/NCBP1/NCL/NOVA1/NUP98/PRDX6/PRMT5/PRPF19/PTBP1/PUF60/QKI/RBFOX2/RBM10/RBM11/RBM15/RBM15B/RBM23/RBM24/RBM3/RBM39/RBM4/RBM42/RBM8A/RBMX/RBPMS/RBPMS2/RNPS1/SAFB/SAFB2/SF1/SF3B4/SFSWAP/SLTM/SMU1/SNRNP70/SRPK1/SRPK2/SRSF3/SRSF6/SRSF7/SRSF9/SUPT6H/TIA1/U2AF2/UPF1/WDR77/ZBTB7A/ZC3H14/ZFP36L1",70
"GO:0031669","GO:0031669","cellular response to nutrient levels","112/5323","221/14636",8.34726114060075e-06,0.000914382834658951,0.000774224161131209,"ASNS/ATF3/ATG14/ATG7/ATXN3/BRIP1/CD68/CDKN1A/CDKN2B/CLEC16A/CPEB4/CYP27B1/DEPDC5/DSC2/EHMT2/EIF2AK2/EIF2AK3/EIF2AK4/EIF4G1/FADS1/FAS/FGF23/FOS/GABARAPL1/GABARAPL3/GAS2L1/GAS6/GDAP1/GLUL/GPR155/HSPA5/HSPA8/IFI16/IGF1R/IMPACT/INHBA/INHBB/ITFG2/KANK2/KAT5/KLF10/KPTN/LAMP2/LAMTOR1/MAPK1/MAPK3/MAPKAP1/MDM2/MED1/MLST8/MTOR/MYBBP1A/NCOA1/NPRL3/NR1H4/OGT/OTUD3/PCK1/PDK2/PDK4/PICK1/PIK3C2B/PIM1/PLD1/PLIN3/PMAIP1/PPARA/PPARD/PPM1D/PRKAA2/PRKAB2/PRR5/RALB/RICTOR/RNF152/RNF167/RPS6KB1/RPTOR/RRAGA/RRAGC/RRAGD/RXRA/RXRB/SEC13/SEH1L/SESN2/SESN3/SFRP1/SLC2A1/SLC38A2/SLC38A3/SLC7A5/SNAI2/SP1/SREBF1/SUV39H1/TBL2/TSC2/TTC5/TXN2/UCP2/ULK1/UPP1/USF2/USP33/VPS41/WIPI1/WIPI2/XBP1/YWHAG/ZC3H12A/ZFYVE1",112
"GO:0006446","GO:0006446","regulation of translational initiation","47/5323","77/14636",8.96510399405364e-06,0.000943890070842899,0.000799208461268841,"ALKBH1/BZW1/BZW2/CSDE1/DDX1/EIF1/EIF1B/EIF2AK1/EIF2AK2/EIF2AK3/EIF2AK4/EIF2B2/EIF2B5/EIF3B/EIF3H/EIF4A2/EIF4B/EIF4EBP2/EIF4G1/EIF4G2/EIF4G3/EIF4H/EIF5/EIF5B/FMR1/HSPB1/IMPACT/KHDRBS1/LARP1/METTL3/MIF4GD/MTOR/NCBP1/NCK1/PAIP1/PAIP2/PAIP2B/PDIK1L/POLR2G/PPP1CA/PPP1R15A/RBM4/RPS6KB1/STK35/TMED2/YTHDF2/YTHDF3",47
"GO:0006413","GO:0006413","translational initiation","63/5323","111/14636",9.10900694344999e-06,0.000943890070842899,0.000799208461268841,"ABCE1/ALKBH1/BZW1/BZW2/COPS5/CSDE1/DDX1/DENR/DHX33/EIF1/EIF1AX/EIF1B/EIF2A/EIF2AK1/EIF2AK2/EIF2AK3/EIF2AK4/EIF2B1/EIF2B2/EIF2B4/EIF2B5/EIF2S2/EIF3A/EIF3B/EIF3G/EIF3H/EIF3I/EIF3J/EIF4A2/EIF4B/EIF4EBP2/EIF4G1/EIF4G2/EIF4G3/EIF4H/EIF5/EIF5B/EIF6/FMR1/HSPB1/IMPACT/KHDRBS1/LARP1/METTL3/MIF4GD/MTOR/NCBP1/NCK1/PAIP1/PAIP2/PAIP2B/PDIK1L/POLR2G/PPP1CA/PPP1R15A/RBM4/RPS3A/RPS6KB1/SLBP/STK35/TMED2/YTHDF2/YTHDF3",63
"GO:0006399","GO:0006399","tRNA metabolic process","85/5323","160/14636",1.0225267940555e-05,0.00103167571800231,0.000873538125447969,"AARS2/ADAT2/AKT1/ALKBH1/ALKBH8/BRF1/CARS2/CLP1/DDX1/DICER1/DPH3/DTWD2/DUS1L/DUS3L/EARS2/ELP2/ELP4/EXOSC10/EXOSC3/EXOSC9/FARSA/FARSB/FTSJ1/GATC/GRSF1/GTF3C1/GTF3C2/GTF3C5/GTF3C6/GTPBP3/HSD17B10/IARS2/LAGE3/LARS2/LCMT2/LRRC47/LSM6/METTL1/METTL2B/METTL6/MOCS3/NAT10/NSUN2/NSUN6/OSGEPL1/POLR2E/POLR2F/POLR2L/POLR3A/POLR3D/POLR3E/POP1/POP4/PRORSD1P/PUS1/PUS7/QRSL1/RARS2/RPP14/RPP30/RPP40/RPUSD4/TARBP1/THADA/THG1L/THUMPD2/TRIT1/TRMT1/TRMT11/TRMT112/TRMT2B/TRMT61A/TRMU/TRPT1/TRUB1/TRUB2/TSEN34/TSEN54/TYW1B/TYW3/TYW5/URM1/WARS2/WDR4/WDR6",85
"GO:0021782","GO:0021782","glial cell development","66/5323","118/14636",1.094026643986e-05,0.00107551234693393,0.000910655376532477,"ABCA2/AKT1/AKT2/APP/ARHGEF10/ASCL1/B4GALT5/B4GALT6/CDK5/CDK6/CLU/CNTN1/CNTNAP1/CSPG5/DAG1/DICER1/DLL1/EGFR/EIF2B1/EIF2B2/EIF2B4/EIF2B5/ERBB2/ERBB3/ERCC2/GPM6B/GRB2/GRN/HES5/HRAS/ID4/IFNGR1/ITGB4/LAMB2/LAMC3/LDLR/LRP1/MAPK1/MAPK3/MAPT/MDK/MECP2/MED12/MXRA8/NCSTN/NDRG1/NR1D1/NSUN5/NTRK2/PHGDH/PICK1/PLEC/POU3F2/PPP3R1/PRDM8/RAF1/ROR1/SIRT2/SKI/SLC25A46/SOD1/SOX4/TSPAN2/VIM/WASF3/ZEB2",66
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","123/5323","248/14636",1.18824208209982e-05,0.00109487629549961,0.000927051175169755,"ADNP/ARHGAP35/ASNS/ATF3/ATG14/ATG7/ATXN3/BRIP1/CBS/CD68/CDKN1A/CDKN2B/CLEC16A/CPEB4/CYP27B1/DCTPP1/DEPDC5/DSC2/EHMT2/EIF2AK2/EIF2AK3/EIF2AK4/EIF4G1/FADS1/FAS/FGF23/FOS/FOSL1/GABARAPL1/GABARAPL3/GAS2L1/GAS6/GDAP1/GLRX2/GLUL/GPR155/HSPA5/HSPA8/IFI16/IGF1R/IMPACT/INHBA/INHBB/ITFG2/ITGA4/KANK2/KAT5/KLF10/KPTN/LAMP2/LAMTOR1/MAPK1/MAPK3/MAPKAP1/MDM2/MED1/MLST8/MTOR/MYBBP1A/NCOA1/NPRL3/NR1H4/NR4A2/NUDT1/OGT/OTUD3/PCK1/PDK2/PDK4/PICK1/PIK3C2B/PIM1/PLD1/PLEC/PLIN3/PMAIP1/PPARA/PPARD/PPM1D/PPP1R9B/PRKAA2/PRKAB2/PRR5/RALB/RICTOR/RNF152/RNF167/RPS6KB1/RPTOR/RRAGA/RRAGC/RRAGD/RXRA/RXRB/SEC13/SEH1L/SESN2/SESN3/SFRP1/SLC2A1/SLC38A2/SLC38A3/SLC7A5/SNAI2/SP1/SREBF1/SUV39H1/TBL2/TSC2/TTC5/TXN2/UCP2/ULK1/UPP1/USF2/USP33/VPS41/WIPI1/WIPI2/XBP1/YWHAG/ZC3H12A/ZFYVE1",123
"GO:0048863","GO:0048863","stem cell differentiation","117/5323","234/14636",1.19534607700101e-05,0.00109487629549961,0.000927051175169755,"ABL1/ACE/ALDH1A2/BMP4/BMP7/CDC42/CDK12/CDK6/CDX2/CHD2/CHD4/CITED2/CORO1C/CTNNB1/DMRTA2/EDNRA/EDNRB/EIF2AK2/ERCC2/FGF2/FGFR2/FN1/GATAD2A/GATAD2B/GBX2/GDNF/GPM6A/HAND2/HDAC1/HES1/HES5/HIF1A/HNRNPU/HOXA7/HOXD4/ITGB1/JAG1/JARID2/KAT5/KBTBD8/KDM3A/KIT/KITLG/LAMA5/LIF/LMBR1L/LRP6/LTBP3/MAPK1/MAPK3/MBD3/MED1/MEF2C/METTL3/MSI2/MSX1/MSX2/MTA2/MTCH2/MTF2/N4BP2L2/NOG/NOLC1/NRP2/NRTN/NSUN2/OTUD5/PDCD6/PDGFRA/PDX1/PEF1/PHF19/PRICKLE1/PSMD11/PUS7/PWP1/RBBP4/RBBP7/RBM24/RBPJ/RUNX2/SEMA3D/SEMA3E/SEMA3F/SEMA4C/SEMA4F/SEMA4G/SEMA5B/SEMA6A/SEMA6B/SEMA6D/SETD1A/SETD2/SETD6/SFRP1/SIRT6/SIX1/SLC4A11/SMYD5/SNAI2/SOX21/SOX5/SOX8/SOX9/STAT3/TAPT1/TBX1/TCOF1/TGFBR2/TRIM6/TWIST1/UFL1/XRCC5/YAP1/YTHDF2/ZFP36/ZIC3",117
"GO:0006401","GO:0006401","RNA catabolic process","137/5323","281/14636",1.19939500289472e-05,0.00109487629549961,0.000927051175169755,"AKT1/ALKBH5/ANGEL2/APEX1/BTG2/CAPRIN1/CARHSP1/CASC3/CELF1/CIRBP/CNOT10/CNOT7/CPEB3/CSDE1/DCP1A/DCP2/DDX49/DDX5/DHX34/DHX9/DICER1/DIS3L/DKC1/DNA2/E2F1/EDC3/EDC4/EIF4A3/ELAVL1/ERN1/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/FASTK/FASTKD5/FEN1/FMR1/FTO/FUS/FXR2/GDNF/GRSF1/GTPBP1/HNRNPA0/HNRNPD/HNRNPU/HSPA1A/HSPA1B/IGF2BP1/IGF2BP2/KHSRP/LARP1/LARP1B/LARP4B/LSM2/LSM4/LSM5/LSM6/LSM7/MALAT1/MAPKAPK2/METTL1/METTL3/MLH1/MOV10/MRTO4/NCBP1/NEAT1/NSUN2/NUDT16/PABPC1/PABPC4/PAIP1/PARN/PATL1/PDE12/PHAX/PIAS4/PNRC1/POLR2G/POP1/PPP1R8/PRKCA/PRR5L/QKI/RBM10/RBM24/RBM33/RBM8A/RC3H1/RC3H2/RNASEH2A/RNASEH2B/RNASEH2C/RNH1/RNPS1/ROCK1/SAMD4A/SAMD4B/SECISBP2/SENP1/SIDT2/SLIRP/SMG5/SMG6/SMG7/SMG8/SMG9/SUPV3L1/SYNCRIP/TBRG4/TIRAP/TNKS1BP1/TNRC6B/TOB1/TRAF2/TRAF5/TTC5/UPF1/VIM/WDR82/XIST/XRN1/XRN2/YBX1/YTHDF2/YTHDF3/ZC3H12A/ZC3H14/ZC3H18/ZC3H4/ZC3HAV1/ZFP36/ZFP36L1/ZHX2",137
"GO:0007422","GO:0007422","peripheral nervous system development","49/5323","82/14636",1.33740900298957e-05,0.00119247119010745,0.00100968650311379,"AKT1/AKT2/ALDH3A2/ARHGEF10/ASCL1/CDK5/CITED2/CNTNAP1/DAG1/DICER1/EDNRB/EGR3/ERBB2/ERBB3/ETV1/GDNF/GPC1/GRB2/HAND2/HAPLN2/HOXD10/HOXD9/HRAS/ISL2/ITGB4/LAMB2/MAPK1/MAPK3/MED12/NDRG1/NHLH2/NTRK2/ONECUT2/PLEC/POU3F2/POU4F1/PPP3R1/RAF1/RELA/RUNX1/SCN8A/SIRT2/SKI/SLC25A46/SLC5A3/SOD1/SOX8/TBCE/UGT8",49
"GO:0006354","GO:0006354","DNA-templated transcription elongation","66/5323","119/14636",1.5894874647528e-05,0.00138502157724142,0.00117272233045398,"ADRM1/AXIN1/BRD4/CCNK/CCNT2/CDK12/CDK9/CTDP1/CTNNB1/CTR9/ELL2/ELOF1/ELP2/ELP4/ENY2/ERCC2/ERCC3/GLYR1/GTF2F1/HEXIM1/HNRNPU/INTS10/INTS2/INTS3/INTS4/INTS5/INTS7/LARP7/MED1/MED16/MED17/MED19/MED20/MED22/MED24/MED25/MED29/MED30/NCBP1/PAF1/PARP1/PBRM1/POLR1D/POLR1E/POLR2E/POLR2I/RECQL5/RNF168/RTF1/SART3/SETD2/SETD5/SIRT6/SUPT16H/SUPT5H/SUPT6H/THOC1/TSFM/USP15/VHL/WDR43/WDR82/ZC3H4/ZMYND11/ZMYND8/ZNF326",66
